ap-northeast-1;ap-northeast-1a;"a1.2xlarge"
ap-northeast-1;ap-northeast-1a;"a1.4xlarge"
ap-northeast-1;ap-northeast-1a;"a1.large"
ap-northeast-1;ap-northeast-1a;"a1.medium"
ap-northeast-1;ap-northeast-1a;"a1.metal"
ap-northeast-1;ap-northeast-1a;"a1.xlarge"
ap-northeast-1;ap-northeast-1a;"c1.medium"
ap-northeast-1;ap-northeast-1a;"c1.xlarge"
ap-northeast-1;ap-northeast-1a;"c3.2xlarge"
ap-northeast-1;ap-northeast-1a;"c3.4xlarge"
ap-northeast-1;ap-northeast-1a;"c3.8xlarge"
ap-northeast-1;ap-northeast-1a;"c3.large"
ap-northeast-1;ap-northeast-1a;"c3.xlarge"
ap-northeast-1;ap-northeast-1a;"c4.2xlarge"
ap-northeast-1;ap-northeast-1a;"c4.4xlarge"
ap-northeast-1;ap-northeast-1a;"c4.8xlarge"
ap-northeast-1;ap-northeast-1a;"c4.large"
ap-northeast-1;ap-northeast-1a;"c4.xlarge"
ap-northeast-1;ap-northeast-1a;"c5.12xlarge"
ap-northeast-1;ap-northeast-1a;"c5.18xlarge"
ap-northeast-1;ap-northeast-1a;"c5.24xlarge"
ap-northeast-1;ap-northeast-1a;"c5.2xlarge"
ap-northeast-1;ap-northeast-1a;"c5.4xlarge"
ap-northeast-1;ap-northeast-1a;"c5.9xlarge"
ap-northeast-1;ap-northeast-1a;"c5d.18xlarge"
ap-northeast-1;ap-northeast-1a;"c5d.2xlarge"
ap-northeast-1;ap-northeast-1a;"c5d.4xlarge"
ap-northeast-1;ap-northeast-1a;"c5d.9xlarge"
ap-northeast-1;ap-northeast-1a;"c5d.large"
ap-northeast-1;ap-northeast-1a;"c5d.xlarge"
ap-northeast-1;ap-northeast-1a;"c5.large"
ap-northeast-1;ap-northeast-1a;"c5.metal"
ap-northeast-1;ap-northeast-1a;"c5n.18xlarge"
ap-northeast-1;ap-northeast-1a;"c5n.2xlarge"
ap-northeast-1;ap-northeast-1a;"c5n.4xlarge"
ap-northeast-1;ap-northeast-1a;"c5n.9xlarge"
ap-northeast-1;ap-northeast-1a;"c5n.large"
ap-northeast-1;ap-northeast-1a;"c5n.metal"
ap-northeast-1;ap-northeast-1a;"c5n.xlarge"
ap-northeast-1;ap-northeast-1a;"c5.xlarge"
ap-northeast-1;ap-northeast-1a;"d2.2xlarge"
ap-northeast-1;ap-northeast-1a;"d2.4xlarge"
ap-northeast-1;ap-northeast-1a;"d2.8xlarge"
ap-northeast-1;ap-northeast-1a;"d2.xlarge"
ap-northeast-1;ap-northeast-1a;"g2.2xlarge"
ap-northeast-1;ap-northeast-1a;"g2.8xlarge"
ap-northeast-1;ap-northeast-1a;"g3.16xlarge"
ap-northeast-1;ap-northeast-1a;"g3.4xlarge"
ap-northeast-1;ap-northeast-1a;"g3.8xlarge"
ap-northeast-1;ap-northeast-1a;"g3s.xlarge"
ap-northeast-1;ap-northeast-1a;"g4dn.12xlarge"
